name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Argentina,2020-09-11,19.8,12.8,16.5,19.8,12.8,16.5,7.3,58.8,0.0,0,0.0,,0.0,0.0,35.3,18.7,204.3,1013.7,36.4,10.0,188.1,16.2,9,,2020-09-11T06:57:46,2020-09-11T18:42:37,0.81,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SAEZ,SADF,SABE,87593099999,87576099999"
Argentina,2020-09-12,14.6,9.3,12.7,14.6,8.1,12.6,6.0,64.4,0.0,0,0.0,,0.0,0.0,,21.9,106.5,1017.3,24.5,10.0,240.5,20.7,10,,2020-09-12T06:56:22,2020-09-12T18:43:19,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2020-09-13,17.7,10.4,14.9,17.7,10.4,14.9,9.2,70.9,0.0,0,0.0,,0.0,0.0,35.3,17.2,111.4,1016.5,24.2,9.7,219.2,18.9,8,,2020-09-13T06:54:57,2020-09-13T18:44:01,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2020-09-14,15.2,8.7,12.7,15.2,7.7,12.5,0.2,42.8,0.0,0,0.0,,0.0,0.0,,14.0,118.7,1027.4,0.0,9.9,249.3,21.5,10,,2020-09-14T06:53:32,2020-09-14T18:44:44,0.95,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2020-09-15,14.9,10.5,12.7,14.9,10.5,12.7,4.9,59.6,0.0,0,0.0,,0.0,0.0,,25.9,143.3,1021.9,43.7,10.0,103.5,8.9,6,,2020-09-15T06:52:07,2020-09-15T18:45:26,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2020-09-16,16.9,9.7,14.0,16.9,9.7,14.0,9.4,74.6,0.0,0,0.0,,0.0,0.0,,14.4,92.3,1017.0,21.6,9.6,252.9,21.8,10,,2020-09-16T06:50:42,2020-09-16T18:46:09,1.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2020-09-17,26.1,10.7,17.8,26.1,10.7,17.8,7.0,52.7,0.0,0,0.0,,0.0,0.0,,21.7,289.7,1011.9,36.2,10.0,246.7,21.1,8,,2020-09-17T06:49:16,2020-09-17T18:46:52,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SAEZ,SADF,SABE,87593099999,87576099999"
Argentina,2020-09-18,21.5,14.2,17.8,21.5,14.2,17.8,5.9,46.9,0.0,0,0.0,,0.0,0.0,,19.4,131.4,1011.4,20.7,10.0,295.5,25.4,10,,2020-09-18T06:47:51,2020-09-18T18:47:35,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2020-09-19,15.1,10.5,12.9,15.1,10.5,12.9,-2.5,35.4,0.0,0,0.0,,0.0,0.0,38.9,19.0,197.6,1022.4,11.7,10.0,255.8,22.0,10,,2020-09-19T06:46:25,2020-09-19T18:48:17,0.03,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SAEZ,SADF,SABE,87593099999,87576099999"
Argentina,2020-09-20,20.2,8.2,14.1,20.2,6.5,13.8,-4.2,29.1,0.0,0,0.0,,0.0,0.0,38.9,20.1,244.3,1023.2,0.0,10.0,264.8,23.0,10,,2020-09-20T06:45:00,2020-09-20T18:49:01,0.07,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2020-09-21,13.5,7.5,11.1,13.5,6.0,10.9,2.2,54.6,0.0,0,0.0,,0.0,0.0,,17.4,90.7,1025.5,5.9,10.0,244.0,21.1,10,,2020-09-21T06:43:34,2020-09-21T18:49:44,0.11,Clear,Clear conditions throughout the day.,clear-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
Argentina,2020-09-22,17.5,10.5,13.4,17.5,10.5,13.4,7.5,67.9,0.0,0,0.0,,0.0,0.0,,18.4,70.5,1022.5,31.2,10.0,183.8,15.9,10,,2020-09-22T06:42:09,2020-09-22T18:50:27,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,F6563,SADF,SABE,87593099999,87576099999"
