,Area,temperature,date,name,population,co2,electric_prod,agriculture,forest
1,Algeria,1.314,1990.0,DZA,25758872.0,62940.0,531.583836435074,386760.0,16670.0
5,Australia,0.495,1990.0,AUS,17065100.0,263630.0,8527.22808539065,4644370.0,1338822.0
7,Bahrain,0.437,1990.0,BHR,495927.0,10740.0,15621.2507082696,80.0,2.2
13,Brazil,0.452,1990.0,BRA,149003225.0,197900.0,1460.76032918079,2349000.0,5888980.0
14,Brunei Darussalam,0.524,1990.0,BRN,258714.0,3260.0,4325.23945360514,110.0,4130.0
17,Cameroon,0.637,1990.0,CMR,11780086.0,2900.0,199.064760647758,91700.0,225000.0
20,Chile,0.191,1990.0,CHL,13274617.0,30520.0,1237.62516086151,158990.0,152460.5
21,Colombia,0.322,1990.0,COL,33102569.0,48730.0,871.593984140627,450830.0,649581.4
22,Costa Rica,0.443,1990.0,CRI,3119436.0,2870.0,1071.98865435931,21986.0,29074.0
24,Cyprus,0.062,1990.0,CYP,766616.0,4590.0,2430.16060191804,1606.0,1611.1
26,Dominican Republic,0.604,1990.0,DOM,7133491.0,7860.0,391.253034453958,25460.0,15948.9
31,France,1.563,1990.0,FRA,58235716.0,356240.0,5969.01736384593,305928.0,144360.0
33,Gabon,0.104,1990.0,GAB,949493.0,4100.0,919.438057995162,20053.8,237616.2
35,Ghana,0.544,1990.0,GHA,14773274.0,2790.0,323.55725616407,126050.0,99242.6
36,Greece,0.41,1990.0,GRC,10196792.0,75620.0,3221.40532041842,92220.0,32985.51
38,Guatemala,0.401,1990.0,GTM,9050115.0,3930.0,205.190762769313,42850.0,47812.0
40,Haiti,0.72,1990.0,HTI,7037915.0,1020.0,58.824239849444,15970.0,3829.2
41,Honduras,0.332,1990.0,HND,4955302.0,2450.0,367.888778524498,33200.0,69877.8
42,Iceland,0.055,1990.0,ISL,254826.0,1950.0,16148.2737240313,19010.0,170.7
43,Indonesia,0.142,1990.0,IDN,181413398.0,148530.0,162.523828587346,450830.0,1185450.0
44,Iraq,0.333,1990.0,IRQ,17419113.0,64210.0,1308.90706088192,92300.0,8040.0
46,Italy,1.121,1990.0,ITA,56719240.0,405260.0,4144.90744234232,168400.0,75897.5
47,Japan,1.125,1990.0,JPN,123478000.0,1090530.0,6808.79184956025,56930.0,249500.0
52,Libya,0.627,1990.0,LBY,4436663.0,28600.0,1576.86080732298,154550.0,2170.0
